Time,Production
1965-05-31,128791.0
1965-06-30,142743.0
1965-07-31,135342.0
1965-08-31,120526.0
1965-09-30,96136.0
1965-10-31,98414.0
1965-11-30,128059.0
1965-12-31,109370.0
1966-01-31,71387.0
1966-02-28,90335.0
1966-03-31,120062.0
1966-04-30,121076.0
1966-05-31,127536.0
1966-06-30,145816.0
1966-07-31,145384.0
1966-08-31,142606.0
1966-09-30,106051.0
1966-10-31,112598.0
1966-11-30,126122.0
1966-12-31,111443.0
1967-01-31,81548.0
1967-02-28,89931.0
1967-03-31,117189.0
1967-04-30,120944.0
1967-05-31,148580.0
1967-06-30,142734.0
1967-07-31,158190.0
1967-08-31,146039.0
1967-09-30,110161.0
1967-10-31,119112.0
1967-11-30,128991.0
1967-12-31,114016.0
1968-01-31,78738.0
1968-02-29,93313.0
1968-03-31,118257.0
1968-04-30,137460.0
1968-05-31,149171.0
1968-06-30,145957.0
1968-07-31,131382.0
1968-08-31,150648.0
1968-09-30,120599.0
1968-10-31,119862.0
1968-11-30,125318.0
1968-12-31,128345.0
1969-01-31,70905.0
1969-02-28,103983.0
1969-03-31,123044.0
1969-04-30,139465.0
1969-05-31,147498.0
1969-06-30,158231.0
1969-07-31,164355.0
1969-08-31,142956.0
1969-09-30,139433.0
1969-10-31,127527.0
1969-11-30,124817.0
1969-12-31,126427.0
1970-01-31,84071.0
1970-02-28,98341.0
1970-03-31,134255.0
1970-04-30,150403.0
1970-05-31,147330.0
1970-06-30,180498.0
1970-07-31,178834.0
1970-08-31,161454.0
1970-09-30,146748.0
1970-10-31,113875.0
1970-11-30,139260.0
1970-12-31,123449.0
1971-01-31,97350.0
1971-02-28,104278.0
1971-03-31,155435.0
1971-04-30,157590.0
1971-05-31,170874.0
1971-06-30,184844.0
1971-07-31,175743.0
1971-08-31,182148.0
1971-09-30,141879.0
1971-10-31,131173.0
1971-11-30,169074.0
1971-12-31,131673.0
1972-01-31,95368.0
1972-02-29,126536.0
1972-03-31,161914.0
1972-04-30,152530.0
1972-05-31,184062.0
1972-06-30,198187.0
1972-07-31,192731.0
1972-08-31,187553.0
1972-09-30,144707.0
1972-10-31,147698.0
1972-11-30,156263.0
1972-12-31,129182.0
1973-01-31,116644.0
1973-02-28,127122.0
1973-03-31,171710.0
1973-04-30,163737.0
1973-05-31,194159.0
1973-06-30,191645.0
1973-07-31,219285.0
1973-08-31,196346.0
1973-09-30,158063.0
1973-10-31,163932.0
1973-11-30,171560.0
1973-12-31,149348.0
1974-01-31,113152.0
1974-02-28,128086.0
1974-03-31,161159.0
1974-04-30,181530.0
1974-05-31,200033.0
1974-06-30,197114.0
1974-07-31,230191.0
1974-08-31,187699.0
1974-09-30,167833.0
1974-10-31,166651.0
1974-11-30,166441.0
1974-12-31,166419.0
1975-01-31,118648.0
1975-02-28,139965.0
1975-03-31,163359.0
1975-04-30,193068.0
1975-05-31,185621.0
1975-06-30,202997.0
1975-07-31,232382.0
1975-08-31,198560.0
1975-09-30,151803.0
1975-10-31,160077.0
1975-11-30,158736.0
1975-12-31,170278.0
1976-01-31,121576.0
1976-02-29,116630.0
1976-03-31,168915.0
1976-04-30,166801.0
1976-05-31,196427.0
1976-06-30,227341.0
1976-07-31,221531.0
1976-08-31,182726.0
1976-09-30,168374.0
1976-10-31,150803.0
1976-11-30,166423.0
1976-12-31,158072.0
1977-01-31,118803.0
1977-02-28,129036.0
1977-03-31,170569.0
1977-04-30,164596.0
1977-05-31,196137.0
1977-06-30,231578.0
1977-07-31,201860.0
1977-08-31,210129.0
1977-09-30,166337.0
1977-10-31,149398.0
1977-11-30,173952.0
1977-12-31,168905.0
1978-01-31,131000.0
1978-02-28,125627.0
1978-03-31,168805.0
1978-04-30,172451.0
1978-05-31,202660.0
1978-06-30,204647.0
1978-07-31,192345.0
1978-08-31,193172.0
1978-09-30,167855.0
1978-10-31,164423.0
1978-11-30,178252.0
1978-12-31,169387.0
1979-01-31,141770.0
1979-02-28,129063.0
1979-03-31,175970.0
1979-04-30,178175.0
1979-05-31,207875.0
1979-06-30,231560.0
1979-07-31,220331.0
1979-08-31,228341.0
1979-09-30,176947.0
1979-10-31,180753.0
1979-11-30,185121.0
1979-12-31,174756.0
1980-01-31,154794.0
1980-02-29,142206.0
1980-03-31,177211.0
1980-04-30,182257.0
1980-05-31,214548.0
1980-06-30,232587.0
1980-07-31,209575.0
1980-08-31,175211.0
1980-09-30,175465.0
1980-10-31,170892.0
1980-11-30,157349.0
1980-12-31,179330.0
1981-01-31,129814.0
1981-02-28,139224.0
1981-03-31,192550.0
1981-04-30,189199.0
1981-05-31,213694.0
1981-06-30,243420.0
1981-07-31,253645.0
1981-08-31,227868.0
1981-09-30,191777.0
1981-10-31,172551.0
