Time,Price
2017-04-10,0.0005332000000000001
2017-04-11,0.0005404
2017-04-12,0.0005561
2017-04-13,0.000563
2017-04-14,0.0005718666666666666
2017-04-15,0.0005774666666666666
2017-04-16,0.0013524
2017-04-17,0.0013614999999999999
2017-04-18,0.002145433333333333
2017-04-19,0.0013778999999999996
2017-04-20,0.0013840999999999999
2017-04-21,0.0006147666666666665
2017-04-22,0.001405633333333333
2017-04-23,0.002202666666666666
2017-04-24,0.003015666666666666
2017-04-25,0.003095333333333333
2017-04-26,0.0023790333333333336
2017-04-27,0.0028500333333333337
2017-04-28,0.0021243666666666675
2017-04-29,0.002180333333333334
2017-04-30,0.0009960666666666675
2017-05-01,0.000942300000000001
2017-05-02,0.0009179666666666676
2017-05-03,0.002596900000000001
2017-05-04,0.004213666666666668
2017-05-05,0.004450333333333335
2017-05-06,0.004374333333333334
2017-05-07,0.0033530000000000005
2017-05-08,0.0036846666666666673
2017-05-09,0.003142333333333334
2017-05-10,0.0036223333333333333
2017-05-11,0.003306
2017-05-12,0.002477666666666666
2017-05-13,0.0016696666666666663
2017-05-14,0.001954333333333333
2017-05-15,0.001893333333333333
2017-05-16,0.001967
2017-05-17,0.0018503333333333334
2017-05-18,0.0020353333333333334
2017-05-19,0.002251333333333333
2017-05-20,0.0028566666666666666
2017-05-21,0.0035969999999999995
2017-05-22,0.004265
2017-05-23,0.004425666666666665
2017-05-24,0.0044386666666666645
2017-05-25,0.004179999999999999
2017-05-26,0.003800999999999999
2017-05-27,0.0035523333333333323
2017-05-28,0.004168666666666666
2017-05-29,0.004176666666666665
2017-05-30,0.004217999999999999
2017-05-31,0.0036713333333333324
2017-06-01,0.0037826666666666655
2017-06-02,0.003917666666666666
2017-06-03,0.0041709999999999985
2017-06-04,0.004607999999999999
2017-06-05,0.005058333333333332
2017-06-06,0.0051519999999999995
2017-06-07,0.005153333333333332
2017-06-08,0.004913666666666664
2017-06-09,0.0046806666666666654
2017-06-10,0.0045043333333333315
2017-06-11,0.004452666666666665
2017-06-12,0.004394999999999999
2017-06-13,0.004314666666666665
2017-06-14,0.004242999999999998
2017-06-15,0.0042936666666666635
2017-06-16,0.00435733333333333
2017-06-17,0.007421666666666664
2017-06-18,0.007434333333333331
2017-06-19,0.007537999999999999
2017-06-20,0.004442333333333332
2017-06-21,0.004431333333333332
2017-06-22,0.0031667666666666656
2017-06-23,0.0021777666666666653
2017-06-24,0.0019074333333333321
2017-06-25,0.002273333333333332
2017-06-26,0.002955333333333332
2017-06-27,0.0030493333333333323
2017-06-28,0.003516999999999999
2017-06-29,0.0035036666666666653
2017-06-30,0.0033713333333333317
2017-07-01,0.0032863333333333316
2017-07-02,0.003240333333333331
2017-07-03,0.0031889999999999987
2017-07-04,0.0032889999999999985
2017-07-05,0.0033653333333333317
2017-07-06,0.003331999999999998
2017-07-07,0.003151333333333332
2017-07-08,0.0029999999999999988
2017-07-09,0.002811333333333332
2017-07-10,0.0025416666666666647
2017-07-11,0.0026133333333333317
2017-07-12,0.0026649999999999985
2017-07-13,0.002818666666666665
2017-07-14,0.002563333333333331
2017-07-15,0.0024473333333333313
2017-07-16,0.002264666666666665
2017-07-17,0.0022323333333333314
2017-07-18,0.0021203333333333313
2017-07-19,0.002306666666666665
2017-07-20,0.002373333333333332
2017-07-21,0.002619999999999999
2017-07-22,0.0026366666666666656
2017-07-23,0.002720333333333332
2017-07-24,0.0026006666666666656
2017-07-25,0.0024926666666666656
2017-07-26,0.002357999999999999
2017-07-27,0.0023196666666666656
2017-07-28,0.0022496666666666654
2017-07-29,0.0022063333333333323
2017-07-30,0.0022006666666666654
2017-07-31,0.002263999999999999
2017-08-01,0.0023503333333333327
2017-08-02,0.002378999999999999
2017-08-03,0.0023963333333333328
2017-08-04,0.002414666666666666
2017-08-05,0.002505
2017-08-06,0.002615333333333333
2017-08-07,0.0026413333333333328
2017-08-08,0.002570333333333333
2017-08-09,0.002537666666666666
2017-08-10,0.002493
2017-08-11,0.0025089999999999995
2017-08-12,0.002466
2017-08-13,0.002427666666666667
2017-08-14,0.0023823333333333335
2017-08-15,0.002302
2017-08-16,0.002289
2017-08-17,0.0022373333333333334
2017-08-18,0.002224
2017-08-19,0.0022210000000000003
2017-08-20,0.0022713333333333335
2017-08-21,0.0022403333333333333
2017-08-22,0.002224666666666667
2017-08-23,0.0022230000000000006
2017-08-24,0.002278666666666667
2017-08-25,0.0023053333333333337
2017-08-26,0.002266666666666667
2017-08-27,0.0022610000000000004
2017-08-28,0.0022763333333333338
2017-08-29,0.002440333333333334
2017-08-30,0.002527666666666667
2017-08-31,0.002793666666666667
2017-09-01,0.002838666666666667
2017-09-02,0.0029513333333333336
2017-09-03,0.002721
2017-09-04,0.002660666666666667
2017-09-05,0.0025896666666666668
2017-09-06,0.0026153333333333337
2017-09-07,0.0024893333333333334
2017-09-08,0.0023243333333333336
2017-09-09,0.0021276666666666666
2017-09-10,0.002004
2017-09-11,0.0019266666666666668
2017-09-12,0.0018736666666666667
2017-09-13,0.0016626666666666665
2017-09-14,0.0014209999999999997
2017-09-15,0.0012119999999999998
2017-09-16,0.0011636666666666664
2017-09-17,0.0011659999999999997
2017-09-18,0.001150333333333333
2017-09-19,0.0011179999999999996
2017-09-20,0.001030133333333333
2017-09-21,0.0009874333333333332
2017-09-22,0.0010371
2017-09-23,0.0010799666666666669
2017-09-24,0.001217666666666667
2017-09-25,0.0013023333333333335
2017-09-26,0.0013983333333333337
2017-09-27,0.0014100000000000004
2017-09-28,0.0013860000000000003
